"","Broad grouping","Scientific_Name","Common_Name","CalCOFI sampled species","Federal Fished Species","Federal Marine Mammal Species","Threatened & Endangered Species","State Commercial Species","State Rec Species"
"555",NA,NA,"Pacific Sierra",NA,NA,NA,NA,"State",NA
"556","Fish","Katsuwonus pelamis","Pacific Skipjack",NA,"Federal",NA,NA,NA,NA
"557","Fish","Squalus suckleyi","Pacific Spiny Dogfish",NA,"Federal",NA,NA,NA,NA
"558",NA,"Leptocottus armatus","Pacific staghorn sculpin",NA,NA,NA,NA,NA,NA
"559","Fish",NA,"Pacific Staghorn Sculpin",NA,NA,NA,NA,NA,"State"
"560","Fish",NA,"Pacific Tomcod",NA,NA,NA,NA,"State","State"
"561","Fish","Chauliodus macouni","Pacific Viperfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"562","Fish","Acanthocybium solanderi","Pacific Wahoo",NA,"Federal",NA,NA,NA,NA
"563","Marine mammals/Seabirds/Turtles","Lagenorhynchus obliquidens","Pacific White-Sided Dolphin","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"564","Fish","Mercluccius productus","Pacific Whiting",NA,"Federal",NA,NA,"State",NA
"565","Fish","Thunnus albacares","Pacific Yellowfin Tuna",NA,"Federal",NA,NA,NA,NA
"566",NA,"Artedius fenestralis","Padded sculpin",NA,NA,NA,NA,NA,NA
"567","Fish","Oxylebius pictus","Painted greenling","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"568","Fish",NA,"Painted Greenling",NA,NA,NA,NA,NA,"State"
"569",NA,"Vinciguerria lucetia","Panama lightfish",NA,NA,NA,NA,NA,NA
"570",NA,"Scopelosaurus spp.","Paperbones",NA,NA,NA,NA,NA,NA
"571","Marine mammals/Seabirds/Turtles","Aethia psittacula","Parakeet Auklet","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"572","Marine mammals/Seabirds/Turtles","Stercorarius parasiticus","Parasitic Jaeger","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"573","Fish","Notoscopelus resplendens","Patchwork lampfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"574","Fish","Scopelarchidae","Pearleyes","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"575",NA,"Scopelarchus spp.","Pearleyes",NA,NA,NA,NA,NA,NA
"576",NA,"Myctophum nitidulum","Pearly lanternfish",NA,NA,NA,NA,NA,NA
"577",NA,"Howella spp.","Pelagic basslet",NA,NA,NA,NA,NA,NA
"578","Marine mammals/Seabirds/Turtles","Phalacrocorax pelagicus","Pelagic Cormorant","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"579",NA,NA,"Pelagic Red Crab",NA,NA,NA,NA,"State",NA
"580",NA,NA,"Pelagic Thresher Shark",NA,NA,NA,NA,"State",NA
"581","Marine mammals/Seabirds/Turtles","Passeriformes","Perching Birds","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"582","Marine mammals/Seabirds/Turtles","Falco peregrinus","Peregrine Falcon","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"583","Fish","Eopsetta jordani","Petrale sole",NA,"Federal",NA,NA,NA,NA
"584","Fish",NA,"Petrale Sole",NA,NA,NA,NA,"State","State"
"585","Marine mammals/Seabirds/Turtles","Phalaropus","Phalaropes","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"586","Bacterioplankton","Haptophyceae","Picoeukaryotes","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"587","Bacterioplankton","Prasinophyceae","Picoeukaryotes","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"588","Marine mammals/Seabirds/Turtles","Cepphus columba","Pigeon Guillemot","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"589","Fish",NA,"Pile Perch",NA,NA,NA,NA,NA,"State"
"590",NA,NA,"Pile Surfperch",NA,NA,NA,NA,"State",NA
"591","Marine mammals/Seabirds/Turtles","Globicephala","Pilot Whales","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"592","Inverts/Zooplankton",NA,"Pink Abalone",NA,NA,NA,NA,"State",NA
"593","Fish","Sebastes eos","Pink Rockfish",NA,"Federal",NA,NA,"State",NA
"594","Fish","Oncorhynchus gorbuscha","Pink Salmon",NA,"Federal",NA,NA,"State",NA
"595",NA,NA,"Pink Surfperch",NA,NA,NA,NA,"State",NA
"596","Marine mammals/Seabirds/Turtles","Puffinus creatopus","Pink-Footed Shearwater","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"597",NA,NA,"Pinkrose Rockfish",NA,NA,NA,NA,"State",NA
"598","Marine mammals/Seabirds/Turtles","Caniformia","Pinnipeds","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"599",NA,"Nannobrachium regale","Pinpoint lampfish",NA,NA,NA,NA,NA,NA
"600","Inverts/Zooplankton",NA,"Pinto Abalone",NA,NA,NA,NA,"State",NA
"601","Inverts/Zooplankton",NA,"Pismo clam",NA,NA,NA,NA,NA,"State"
"602","Fish",NA,"Plainfin Midshipman",NA,NA,NA,NA,"State","State"
"603","Fish","Agonidae","Poacher","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"604","Marine mammals/Seabirds/Turtles","Stercorarius pomarinus","Pomarine Jaeger","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"605",NA,NA,"Pomfret",NA,NA,NA,NA,"State",NA
"606","Fish",NA,"Pomfret Family",NA,NA,NA,NA,NA,"State"
"607",NA,"Coryphaena equiselis","Pompano dolphinfish",NA,NA,NA,NA,NA,NA
"608",NA,"Lipolagus (Bathylagus) ochotensis","Popeye blacksmelt",NA,NA,NA,NA,NA,NA
"609",NA,"Bolinichthys longipes","Popeye lampfish",NA,NA,NA,NA,NA,NA
"610",NA,"Stichaeidae","Pricklebacks",NA,NA,NA,NA,NA,NA
"611","Marine mammals/Seabirds/Turtles","Pterodroma solandri","Providence Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"612","Inverts/Zooplankton","Mollusca Euthecosomata","Pteropods","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"613","Fish",NA,"Puffer Family",NA,NA,NA,NA,NA,"State"
"614",NA,"Ruscarius meanyi","Puget Sound sculpin",NA,NA,NA,NA,NA,NA
"615","Inverts/Zooplankton",NA,"Purple Clam",NA,NA,NA,NA,"State",NA
"616",NA,NA,"Purple Sea Urchin",NA,NA,NA,NA,"State",NA
"617","Inverts/Zooplankton",NA,"Purple urchin",NA,NA,NA,NA,NA,"State"
"618",NA,"Odontopyxis trispinosa","Pygmy poacher",NA,NA,NA,NA,NA,NA
"619","Marine mammals/Seabirds/Turtles","Kogia breviceps","Pygmy Sperm Whale","Species sampled by CalCOFI",NA,"Federal (CITES & SPAW & MMPA)",NA,NA,NA
"620","Fish","Seriphus politus","Queenfish",NA,NA,NA,NA,"State","State"
"621","Fish","Sebastes maliger","Quillback Rockfish",NA,"Federal",NA,NA,"State","State"
"622",NA,"Icosteus aenigmaticus","Ragfish",NA,NA,NA,NA,NA,NA
"623","Fish",NA,"Rainbow Seaperch",NA,NA,NA,NA,NA,"State"
"624",NA,NA,"Rainbow Surfperch",NA,NA,NA,NA,"State",NA
"625",NA,NA,"Rainbow Trout",NA,NA,NA,NA,"State",NA
"626","Fish","Hydrolagus colliei","Ratfish",NA,"Federal",NA,NA,NA,NA
"627","Inverts/Zooplankton",NA,"Red Abalone",NA,NA,NA,NA,"State",NA
"628","Fish","Brosmophycis marginata","Red Brotula","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"629","Fish",NA,"Red Irish Lord",NA,NA,NA,NA,NA,"State"
"630","Marine mammals/Seabirds/Turtles","Phalaropus fulicarius","Red Phalarope","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"631",NA,NA,"Red Rock Crab",NA,NA,NA,NA,"State",NA
"632",NA,NA,"Red Rock Shrimp",NA,NA,NA,NA,"State",NA
"633",NA,NA,"Red Sea Urchin",NA,NA,NA,NA,"State",NA
"634",NA,NA,"Red Swamp Crayfish",NA,NA,NA,NA,"State",NA
"635","Inverts/Zooplankton",NA,"Red urchin",NA,NA,NA,NA,NA,"State"
"636","Marine mammals/Seabirds/Turtles","Phaethon aethereus","Red-Billed Tropicbird","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"637","Marine mammals/Seabirds/Turtles","Mergus serrator","Red-Breasted Merganser","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"638","Marine mammals/Seabirds/Turtles","Sula sula","Red-Footed Booby","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"639","Marine mammals/Seabirds/Turtles","Podiceps grisegena","Red-Necked Grebe","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"640","Marine mammals/Seabirds/Turtles","Phalaropus lobatus","Red-Necked Phalarope","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"641","Marine mammals/Seabirds/Turtles","Phaethon rubricauda","Red-Tailed Tropicbird","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"642","Marine mammals/Seabirds/Turtles","Gavia stellata","Red-Throated Loon","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"643","Fish","Sebastes babcocki","Redbanded Rockfish",NA,"Federal",NA,NA,"State",NA
"644","Fish","Sebastes proriger","Redstripe Rockfish",NA,"Federal",NA,NA,NA,NA
"645","Fish",NA,"Redtail Surfperch",NA,NA,NA,NA,"State","State"
"646","Fish","Glyptocephalus zachirus","Rex Sole","Species sampled by CalCOFI","Federal",NA,NA,"State",NA
"647","Marine mammals/Seabirds/Turtles","Cerorhinca monocerata","Rhinoceros Auklet","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"648",NA,"Trachipteridae","Ribbonfishes",NA,NA,NA,NA,NA,NA
"649",NA,NA,"Ridgeback Prawn",NA,NA,NA,NA,"State",NA
"650","Fish",NA,"Righteye Flounder Family",NA,NA,NA,NA,NA,"State"
"651",NA,"Pleuronectidae","Righteye Flounders",NA,NA,NA,NA,NA,NA
"652","Marine mammals/Seabirds/Turtles","Larus delawarensis","Ring-Billed Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"653","Marine mammals/Seabirds/Turtles","Grampus griseus","Risso's Dolphin","Species sampled by CalCOFI",NA,"Federal (CITES & SPAW & MMPA)",NA,NA,NA
"654",NA,"Bathylagus milleri","Robust blacksmelt",NA,NA,NA,NA,NA,NA
"655","Fish",NA,"Rock Bass",NA,NA,NA,NA,"State",NA
"656","Inverts/Zooplankton",NA,"Rock Crab",NA,NA,NA,NA,NA,"State"
"657","Fish",NA,"Rock Greenling",NA,NA,NA,NA,"State","State"
"658","Inverts/Zooplankton",NA,"Rock scallop",NA,NA,NA,NA,NA,"State"
"659",NA,NA,"Rock Scallop",NA,NA,NA,NA,"State",NA
"660","Fish","Lepidopsetta bilineata","Rock sole",NA,"Federal",NA,NA,NA,NA
"661","Fish",NA,"Rock Sole",NA,NA,NA,NA,"State","State"
"662",NA,NA,"Rock Unspecified Crab",NA,NA,NA,NA,"State",NA
"663",NA,"Halichoeres semicinctus","Rock wrasse",NA,NA,NA,NA,NA,NA
"664","Fish",NA,"Rock Wrasse",NA,NA,NA,NA,"State","State"
"665","Fish",NA,"Rockfish Genus",NA,NA,NA,NA,NA,"State"
"666",NA,"Sebastes spp.","Rockfishes",NA,NA,NA,NA,NA,NA
"667",NA,"Hypsoblennius gilberti","Rockpool blenny",NA,NA,NA,NA,NA,NA
"668",NA,NA,"Roe (Chinook Salmon",NA,NA,NA,NA,"State",NA
"669","Fish",NA,"Ronquil Family",NA,NA,NA,NA,NA,"State"
"670",NA,"Rathbunella spp.","Ronquils (Stripefin, Bluebanded)",NA,NA,NA,NA,NA,NA
"671","Fish","Sebastes helvomaculatus","Rosethorn Rockfish",NA,"Federal",NA,NA,"State",NA
"672","Inverts/Zooplankton",NA,"Rosy Razor Clam",NA,NA,NA,NA,"State",NA
"673","Fish","Sebastes rosaceus","Rosy Rockfish",NA,"Federal",NA,NA,"State","State"
"674","Marine mammals/Seabirds/Turtles","Steno bredanensis","Rough-Toothed Dolphin",NA,NA,"Federal (CITES & MMPA)",NA,NA,NA
"675",NA,"Chitonotus pugetensis","Roughback sculpin",NA,NA,NA,NA,NA,NA
"676",NA,"Ruscarius creaseri","Roughcheek sculpin",NA,NA,NA,NA,NA,NA
"677","Fish","Sebastes aleutianus","Rougheye Rockfish",NA,"Federal",NA,NA,"State",NA
"678",NA,"Etrumeus teres","Round herring",NA,NA,NA,NA,NA,NA
"679",NA,NA,"Round Herring",NA,NA,NA,NA,"State",NA
"680","Fish",NA,"Round Stingray",NA,NA,NA,NA,NA,"State"
"681",NA,"Centrobranchus nigroocellatus","Roundnose lanternfish",NA,NA,NA,NA,NA,NA
"682","Marine mammals/Seabirds/Turtles","Thalasseus maximus","Royal Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"683","Fish",NA,"Rubberlip Seaperch",NA,NA,NA,NA,NA,"State"
"684",NA,NA,"Rubberlip Surfperch",NA,NA,NA,NA,"State",NA
"685",NA,"Cataetyx rubrirostris","Rubynose brotula",NA,NA,NA,NA,NA,NA
"686","Marine mammals/Seabirds/Turtles","Oxyura jamaicensis","Ruddy Duck","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"687","Marine mammals/Seabirds/Turtles","Arenaria interpres","Ruddy Turnstone","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"688","Marine mammals/Seabirds/Turtles","Xema sabini","Sabine's Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"689","Fish",NA,"Sablefish",NA,NA,NA,NA,"State","State"
"690","Fish","Anoplopoma fimbria","Sablefish (blackcod)",NA,"Federal",NA,NA,NA,NA
"691","Fish","Anoplopoma fimbria","Sablefish (blackcod)",NA,"Federal",NA,NA,NA,NA
"692","Fish",NA,"Sacramento Blackfish",NA,NA,NA,NA,"State",NA
"693",NA,NA,"Sailfish",NA,NA,NA,NA,"State",NA
"694","Fish","Xenistius californiensis","Salema",NA,NA,NA,NA,"State","State"
"695",NA,NA,"Salmon",NA,NA,NA,NA,"State",NA
"696",NA,NA,"Salmon Shark",NA,NA,NA,NA,"State",NA
"697",NA,NA,"Sand Crab",NA,NA,NA,NA,"State",NA
"698",NA,NA,"Sand Dollar",NA,NA,NA,NA,"State",NA
"699","Fish","Psettichthys melanostictus","Sand sole","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"700","Fish",NA,"Sand Sole",NA,NA,NA,NA,"State","State"
"701","Fish",NA,"Sandbass Genus",NA,NA,NA,NA,NA,"State"
"702",NA,NA,"Sanddab",NA,NA,NA,NA,"State",NA
"703","Fish",NA,"Sanddab Genus",NA,NA,NA,NA,NA,"State"
"704",NA,"Citharichthys spp.","Sanddabs",NA,NA,NA,NA,NA,NA
"705","Marine mammals/Seabirds/Turtles","Calidris alba","Sanderling","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"706",NA,"Neoclinus blanchardi","Sarcastic fringehead",NA,NA,NA,NA,NA,NA
"707","Fish",NA,"Sarcastic Fringehead",NA,NA,NA,NA,NA,"State"
"708","Fish","Anisotremus davidsonii","Sargo",NA,NA,NA,NA,"State","State"
"709",NA,"Melanostomiinae","Scaleless dragonfishes",NA,NA,NA,NA,NA,NA
"710","Fish","Sphyrna lewini","Scalloped Hammerhead Shark",NA,NA,NA,"Federal",NA,NA
"711",NA,"Artedius harringtoni","Scalyhead sculpin",NA,NA,NA,NA,NA,NA
"712","Marine mammals/Seabirds/Turtles","Synthliboramphus scrippsi","Scripps Murrelet",NA,NA,NA,"State",NA,NA
"713","Fish","Cottidae","Sculpin","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"714","Fish",NA,"Sculpin Family",NA,NA,NA,NA,NA,"State"
"715","Inverts/Zooplankton","Mollusca Gymnosomata","Sea angels","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"716","Inverts/Zooplankton","Mollusca Pseudothecosomata","Sea butterflies","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"717","Fish",NA,"Sea Chub Family",NA,NA,NA,NA,NA,"State"
"718","Inverts/Zooplankton",NA,"Sea cucumber",NA,NA,NA,NA,NA,"State"
"719",NA,NA,"Sea Hare",NA,NA,NA,NA,"State",NA
"720","Marine mammals/Seabirds/Turtles","Lutrogale perspicillata","Sea Otter","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"721",NA,NA,"Sea Pansy",NA,NA,NA,NA,"State",NA
"722",NA,NA,"Sea Slug",NA,NA,NA,NA,"State",NA
"723",NA,NA,"Sea Snail",NA,NA,NA,NA,"State",NA
"724",NA,NA,"Sea Spiders",NA,NA,NA,NA,"State",NA
"725",NA,NA,"Sea Stars",NA,NA,NA,NA,"State",NA
"726","Marine mammals/Seabirds/Turtles","Cheloniidae","Sea Turtles","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"727",NA,"Prionotus spp.","Searobins",NA,NA,NA,NA,NA,NA
"728","Marine mammals/Seabirds/Turtles","Balaenoptera borealis","Sei Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA & SPAW)","Federal",NA,NA
"729","Fish","Oxyjulis californica","Senorita",NA,NA,NA,NA,"State","State"
"730","Fish",NA,"Seven Gill Shark",NA,NA,NA,NA,NA,"State"
"731",NA,NA,"Sevengill Shark",NA,NA,NA,NA,"State",NA
"732",NA,"Stemonosudis macrura","Sharpchin barracudina",NA,NA,NA,NA,NA,NA
"733","Fish","Sebastes zacentrus","Sharpchin Rockfish",NA,"Federal",NA,NA,NA,NA
"734","Fish",NA,"Sharpnose Seaperch",NA,NA,NA,NA,NA,"State"
"735","Fish",NA,"Shiner Perch",NA,NA,NA,NA,NA,"State"
"736",NA,NA,"Shiner Surfperch",NA,NA,NA,NA,"State",NA
"737","Fish","Aristostomias scintillans","Shiny Loosejaw","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"738","Marine mammals/Seabirds/Turtles","Charadriiformes","Shore Birds","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"739",NA,NA,"Shore Crab",NA,NA,NA,NA,"State",NA
"740","Marine mammals/Seabirds/Turtles","Delphinus delphis","Short-Beaked Common Dolphin","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"741","Marine mammals/Seabirds/Turtles","Globicephala macrorhynchus","Short-Finned Pilot Whale","Species sampled by CalCOFI",NA,"Federal (CITES & SPAW & MMPA)",NA,NA,NA
"742","Marine mammals/Seabirds/Turtles","Phoebastria albatrus","Short-Tailed Albatross","Species sampled by CalCOFI",NA,NA,"Federal",NA,NA
"743","Marine mammals/Seabirds/Turtles","Puffinus tenuirostris","Short-Tailed Shearwater","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"744","Fish","Sebastes jordani","Shortbelly rockfish","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"745",NA,NA,"Shortbelly Rockfish",NA,NA,NA,NA,"State",NA
"746","Fish",NA,"Shortfin Corvina",NA,NA,NA,NA,"State","State"
"747","Marine mammals/Seabirds/Turtles","Isurus oxyrinchus","Shortfin Mako","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"748",NA,NA,"Shortfin Mako Shark",NA,NA,NA,NA,"State",NA
"749","Fish","Sebastes borealis","Shortraker Rockfish",NA,"Federal",NA,NA,"State",NA
"750",NA,"Zaniolepis frenata","Shortspine combfish",NA,NA,NA,NA,NA,NA
"751","Fish",NA,"Shortspine Combfish",NA,NA,NA,NA,NA,"State"
"752","Fish","Sebastolobus alascanus","Shortspine thornyhead",NA,"Federal",NA,NA,NA,NA
"753",NA,NA,"Shortspine Thornyhead",NA,NA,NA,NA,"State",NA
"754","Fish",NA,"Shovelnose Guitarfish",NA,NA,NA,NA,"State","State"
"755",NA,"Cyclothone signata","Showy bristlemouth",NA,NA,NA,NA,NA,NA
"756",NA,NA,"Signal Crayfish",NA,NA,NA,NA,"State",NA
"757","Fish",NA,"Silver Surfperch",NA,NA,NA,NA,"State","State"
"758","Fish","Sebastes brevispinis","Silvergray Rockfish",NA,"Federal",NA,NA,NA,NA
"759","Fish",NA,"Silverside Family",NA,NA,NA,NA,NA,"State"
"760",NA,NA,"Silversides",NA,NA,NA,NA,"State",NA
"761",NA,NA,"Sixgill Shark",NA,NA,NA,NA,"State",NA
"762","Fish",NA,"Skate And Ray Order",NA,NA,NA,NA,NA,"State"
"763","Fish",NA,"Skate Family",NA,NA,NA,NA,NA,"State"
"764",NA,NA,"Skipjack Tuna",NA,NA,NA,NA,"State",NA
"765",NA,"Lestidiops ringens","Slender barracudina",NA,NA,NA,NA,NA,NA
"766","Fish","Bathylagus pacificus","Slender Blacksmelt","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"767",NA,"Cyclothone pseudopallida","Slender bristlemouth",NA,NA,NA,NA,NA,NA
"768",NA,"Argyropelecus affinis","Slender hatchetfish",NA,NA,NA,NA,NA,NA
"769",NA,"Hygophum reinhardtii","Slender lanternfish",NA,NA,NA,NA,NA,NA
"770",NA,"Macroramphosus gracilis","Slender snipefish",NA,NA,NA,NA,NA,NA
"771","Fish","Lyopsetta exilis","Slender sole","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"772",NA,NA,"Slender Sole",NA,NA,NA,NA,"State",NA
"773",NA,"Gonichthys tenuiculus","Slendertail lanternfish",NA,NA,NA,NA,NA,NA
"774",NA,"Liparis mucosus","Slimy snailfish",NA,NA,NA,NA,NA,NA
"775",NA,"Liparis fucensis","Slipskin snailfish",NA,NA,NA,NA,NA,NA
"776","Fish",NA,"Slough Anchovy",NA,NA,NA,NA,"State",NA
"777","Fish","Tetragonurus cuvieri","Smalleye squaretail","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"778",NA,"Cheilopogon pinnatibarbatus","Smallhead flyingfish",NA,NA,NA,NA,NA,NA
"779",NA,NA,"Smooth Hammerhead Shark",NA,NA,NA,NA,"State",NA
"780",NA,"Xeneretmus leiops","Smootheye poacher",NA,NA,NA,NA,NA,NA
"781",NA,"Artedius lateralis","Smoothhead sculpin",NA,NA,NA,NA,NA,NA
"782","Fish",NA,"Smoothhound Genus",NA,NA,NA,NA,NA,"State"
"783","Fish",NA,"Snake Eel Family",NA,NA,NA,NA,NA,"State"
"784","Fish","Gempylidae","Snake Mackerels ","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"785","Marine mammals/Seabirds/Turtles","Egretta thula","Snowy Egret","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"786",NA,"Bathylagoides (Bathylagus) wesethi","Snubnose blacksmelt",NA,NA,NA,NA,NA,NA
"787","Fish","Bathylagoides wesethi","Snubnose Blacksmelt","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"788",NA,"Orthonopias triacis","Snubnose sculpin",NA,NA,NA,NA,NA,NA
"789","Fish","Oncorhynchus nerka","Sockeye Salmon",NA,"Federal",NA,NA,NA,NA
"790","Inverts/Zooplankton",NA,"Softshell Clam",NA,NA,NA,NA,"State",NA
"791","Marine mammals/Seabirds/Turtles","Puffinus griseus","Sooty Shearwater","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"792","Fish","Galeorhinus zyopterus","Soupfin Shark",NA,"Federal",NA,NA,"State","State"
"793","Marine mammals/Seabirds/Turtles","Stercorarius maccormicki","South Polar Skua","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"794",NA,NA,"Southern Kelp Crab",NA,NA,NA,NA,"State",NA
"795","Marine mammals/Seabirds/Turtles","Enhydra lutris nereis","Southern Sea Otter",NA,NA,NA,"Federal",NA,NA
"796",NA,"Agonopsis sterletus","Southern spearnose poacher",NA,NA,NA,NA,NA,NA
"797","Fish","Sebastes ovalis","Speckled Rockfish",NA,"Federal",NA,NA,"State","State"
"798",NA,"Citharichthys stigmaeus","Speckled sanddab",NA,NA,NA,NA,NA,NA
"799","Fish",NA,"Speckled Sanddab",NA,NA,NA,NA,"State","State"
"800","Fish",NA,"Specklefin Midshipman",NA,NA,NA,NA,NA,"State"
"801","Marine mammals/Seabirds/Turtles","Physeter macrocephalus","Sperm Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA )","Federal",NA,NA
"802",NA,NA,"Spider Crab",NA,NA,NA,NA,"State",NA
"803",NA,NA,"Spider/Sheep Claws Crab",NA,NA,NA,NA,"State",NA
"804","Marine mammals/Seabirds/Turtles","Stenella longirostris","Spinner Dolphin",NA,NA,"Federal (CITES & MMPA)",NA,NA,NA
"805","Fish","Squalus acanthias","Spiny Dogfish",NA,"Federal",NA,NA,NA,NA
"806","Fish",NA,"Spiny Dogfish Shark",NA,NA,NA,NA,"State","State"
"807","Inverts/Zooplankton","Panulirus interruptus","Spiny Lobster","Species sampled by CalCOFI",NA,NA,NA,NA,"State"
"808","Fish","Sebastes diploproa","Splitnose rockfish","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"809",NA,NA,"Splitnose Rockfish",NA,NA,NA,NA,"State",NA
"810",NA,NA,"Splittail",NA,NA,NA,NA,"State",NA
"811",NA,NA,"Sponges",NA,NA,NA,NA,"State",NA
"812",NA,NA,"Spot Prawn",NA,NA,NA,NA,"State",NA
"813",NA,"Roncador stearnsii","Spotfin croaker",NA,NA,NA,NA,NA,NA
"814","Fish",NA,"Spotfin Croaker",NA,NA,NA,NA,NA,"State"
"815","Fish",NA,"Spotfin Surfperch",NA,NA,NA,NA,NA,"State"
"816","Fish",NA,"Spotted Cabrilla",NA,NA,NA,NA,"State",NA
"817",NA,NA,"Spotted Cusk- Eel",NA,NA,NA,NA,"State",NA
"818",NA,"Chilara taylori","Spotted cusk-eel",NA,NA,NA,NA,NA,NA
"819","Fish",NA,"Spotted Ratfish",NA,NA,NA,NA,"State","State"
"820","Fish",NA,"Spotted Sand Bass",NA,NA,NA,NA,"State",NA
"821","Fish",NA,"Spotted Sandbass",NA,NA,NA,NA,NA,"State"
"822",NA,"Pleuronichthys ritteri","Spotted turbot",NA,NA,NA,NA,NA,NA
"823",NA,"Argyropelecus hemigymnus","Spurred hatchetfish",NA,NA,NA,NA,NA,NA
"824","Fish","Sebastes hopkinsi","Squarespot Rockfish",NA,"Federal",NA,NA,"State","State"
"825",NA,NA,"Staghorn Sculpin",NA,NA,NA,NA,"State",NA
"826",NA,"Scopelarchus guentheri","Staring pearleye",NA,NA,NA,NA,NA,NA
"827","Fish","Platichthys stellatus","Starry flounder",NA,"Federal",NA,NA,NA,NA
"828","Fish",NA,"Starry Flounder",NA,NA,NA,NA,"State","State"
"829","Fish","Sebastes constellatus","Starry Rockfish",NA,"Federal",NA,NA,"State","State"
"830","Fish",NA,"Starry Skate",NA,NA,NA,NA,NA,"State"
"831","Marine mammals/Seabirds/Turtles","Mesoplodon stejnegeri","Stejneger's Beaked Whale",NA,NA,"Federal (CITES & MMPA)",NA,NA,NA
"832","Marine mammals/Seabirds/Turtles","Pterodroma longirostris","Stejneger's Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"833","Marine mammals/Seabirds/Turtles","Eumetopias jubatus","Steller Sea Lion","Species sampled by CalCOFI",NA,"Federal (ESA & MMPA)","Federal",NA,NA
"834",NA,NA,"Stingray",NA,NA,NA,NA,"State",NA
"835","Fish",NA,"Stingray Genus",NA,NA,NA,NA,NA,"State"
"836","Fish","Nansenia crassa","Stout argentine","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"837","Fish",NA,"Striped Bass",NA,NA,NA,NA,"State","State"
"838","Marine mammals/Seabirds/Turtles","Stenella coeruleoalba","Striped Dolphin","Species sampled by CalCOFI",NA,"Federal (CITES & SPAW & MMPA)",NA,NA,NA
"839",NA,"Diplospinus multistriatus","Striped escolar",NA,NA,NA,NA,NA,NA
"840","Fish",NA,"Striped Kelpfish",NA,NA,NA,NA,NA,"State"
"841","Fish","Kajikia audax","Striped Marlin",NA,"Federal",NA,NA,"State",NA
